time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-23T10:48:38.974Z,38.157,37.1457,10,4,mb,36,59,0.625,0.57,us,us7000khse,2023-07-23T11:21:35.040Z,"7 km SW of Elbistan, Turkey",earthquake,2.35,1.95,0.164,10,reviewed,us,us
2023-07-22T10:37:12.168Z,37.8628,36.236,10,4,mb,27,85,0.295,0.84,us,us7000khlb,2023-07-22T11:12:21.040Z,"18 km SE of Saimbeyli, Turkey",earthquake,2.82,1.951,0.211,6,reviewed,us,us
2023-07-09T02:27:36.163Z,38,36.3643,5.736,3.5,ml,9,93,0.409,0.44,us,us6000kr1s,2023-07-10T02:41:16.388Z,"11 km WSW of Göksun, Turkey",earthquake,2.46,8.991,0.081,20,reviewed,us,us
2023-06-29T13:34:44.559Z,38.0788,37.2715,10,4.2,mb,26,66,0.641,0.67,us,us6000knvh,2023-07-22T14:56:53.040Z,"7 km ENE of Ekinözü, Turkey",earthquake,3.91,1.707,0.166,10,reviewed,us,us
2023-06-29T05:28:08.743Z,37.9845,36.298,10,4.3,mb,42,52,0.406,0.67,us,us6000knth,2023-07-21T11:29:27.040Z,"17 km WSW of Göksun, Turkey",earthquake,4.67,1.883,0.116,21,reviewed,us,us
2023-06-19T18:31:31.446Z,37.9955,36.5699,10,4.4,mb,98,25,0.428,0.84,us,us7000k9nd,2023-06-28T13:40:13.040Z,"6 km ESE of Göksun, Turkey",earthquake,3.32,1.792,0.068,62,reviewed,us,us
2023-06-18T20:59:23.441Z,37.841,36.2621,10,4.2,mb,45,39,0.269,0.75,us,us7000k9fc,2023-07-03T17:37:17.040Z,"22 km SE of Saimbeyli, Turkey",earthquake,2.75,1.436,0.132,16,reviewed,us,us
2023-06-17T22:02:56.115Z,37.6295,37.4085,10,4.3,mb,69,76,0.422,0.62,us,us7000k999,2023-07-21T00:07:57.040Z,"16 km SE of Çağlayancerit, Turkey",earthquake,2.88,1.858,0.087,37,reviewed,us,us
2023-06-08T03:38:42.693Z,37.7829,36.3231,10,4.3,mb,69,44,0.203,0.7,us,us7000k71u,2023-07-06T03:23:26.040Z,"22 km N of Andırın, Turkey",earthquake,2.56,1.891,0.104,26,reviewed,us,us
2023-06-05T16:40:47.905Z,37.9672,36.5784,10.496,4.5,mwr,92,26,0.428,0.54,us,us7000k6ge,2023-07-13T17:42:37.040Z,"9 km SE of Göksun, Turkey",earthquake,3.77,4.322,0.071,19,reviewed,us,us
2023-05-23T01:12:47.168Z,37.9429,36.3225,10,4,mb,40,39,0.363,0.58,us,us7000k34v,2023-06-22T01:20:36.040Z,"17 km WSW of Göksun, Turkey",earthquake,1.62,1.878,0.173,9,reviewed,us,us
2023-05-22T16:42:58.241Z,37.8904,36.2608,10,4.3,mwr,48,72,0.317,0.56,us,us6000kdx8,2023-05-29T19:28:17.040Z,"18 km SE of Saimbeyli, Turkey",earthquake,2.28,1.87,0.069,20,reviewed,us,us
2023-05-22T16:06:58.948Z,37.9346,36.2708,5.385,4.4,mwr,108,52,0.359,0.77,us,us6000kdwz,2023-05-29T19:00:48.040Z,"16 km ESE of Saimbeyli, Turkey",earthquake,3.23,4.156,0.052,36,reviewed,us,us
2023-05-21T20:16:21.945Z,37.9176,36.2543,10,4.1,mb,38,37,0.345,0.68,us,us6000kdr0,2023-05-28T20:38:13.040Z,"16 km ESE of Saimbeyli, Turkey",earthquake,2.64,1.931,0.184,8,reviewed,us,us
2023-05-21T12:46:13.460Z,37.9246,36.2523,5.539,4.9,mwr,80,51,0.352,0.38,us,us6000kdm0,2023-06-06T09:20:04.770Z,"15 km ESE of Saimbeyli, Turkey",earthquake,5.06,4.523,0.053,34,reviewed,us,us
2023-05-19T08:23:37.141Z,38.3533,37.7687,10,4,mb,20,47,0.861,0.75,us,us6000kd3i,2023-07-24T01:15:57.040Z,"Central Turkey",earthquake,2.57,1.961,0.212,6,reviewed,us,us
2023-05-14T12:06:08.766Z,37.9018,36.1797,7.024,4.1,mb,57,34,0.347,0.53,us,us6000kbui,2023-07-24T01:17:00.040Z,"12 km SE of Saimbeyli, Turkey",earthquake,3.86,5.058,0.109,23,reviewed,us,us
2023-05-12T08:36:25.640Z,37.8832,36.231,4.268,4.2,mb,22,85,0.316,0.75,us,us6000kcj7,2023-07-22T19:17:30.040Z,"Central Turkey",earthquake,1.61,5.069,0.2,8,reviewed,us,us
2023-05-12T08:33:21.858Z,37.8784,36.2491,2.866,4.5,mwr,57,54,0.307,0.78,us,us6000kbcq,2023-07-22T19:16:59.040Z,"18 km SE of Saimbeyli, Turkey",earthquake,2.86,5.154,0.071,19,reviewed,us,us
2023-05-06T12:29:27.020Z,37.8443,36.564,10,4.2,mb,29,49,0.316,0.58,us,us6000ka0l,2023-07-15T22:10:07.040Z,"Central Turkey",earthquake,3.03,1.788,0.158,11,reviewed,us,us
2023-05-05T14:52:29.643Z,37.9221,36.3313,9.387,4.8,mwr,91,29,0.342,0.47,us,us6000k9td,2023-07-15T22:09:56.040Z,"18 km SW of Göksun, Turkey",earthquake,5.66,4.352,0.062,25,reviewed,us,us
2023-05-03T17:22:16.031Z,38.0547,36.6366,7.793,4.2,mb,43,43,0.392,1.2,us,us6000kam9,2023-07-15T22:10:20.040Z,"12 km ENE of Göksun, Turkey",earthquake,2.99,5.134,0.199,7,reviewed,us,us
2023-05-03T17:16:38.697Z,38.0541,36.5563,11.5,4.9,mb,113,26,0.369,0.82,us,us7000jxsv,2023-07-15T22:11:07.040Z,"K. Maras, Turkey",earthquake,4.55,3.28,0.036,244,reviewed,us,us
